source_run,excluded_from_performance,sample_unix_ns,timestamp,gpu_utilization_percent,memory_controller_utilization_percent,vram_used_mib,vram_total_mib,power_w,sm_clock_mhz,memory_clock_mhz
ncu,True,1786540384906645800,2026/08/12 23:13:04.969,0.0,0.0,19495.0,32607.0,84.95,2880.0,13801.0
ncu,True,1786540385477762800,2026/08/12 23:13:05.541,0.0,0.0,19495.0,32607.0,67.11,727.0,7001.0
ncu,True,1786540386063433700,2026/08/12 23:13:06.127,0.0,0.0,19495.0,32607.0,41.98,600.0,7001.0
ncu,True,1786540386648383500,2026/08/12 23:13:06.710,0.0,0.0,19495.0,32607.0,35.59,540.0,7001.0
ncu,True,1786540387230087300,2026/08/12 23:13:07.293,0.0,0.0,19495.0,32607.0,32.78,442.0,7001.0
ncu,True,1786540387817030900,2026/08/12 23:13:07.880,0.0,0.0,19495.0,32607.0,31.25,397.0,810.0
ncu,True,1786540388401428900,2026/08/12 23:13:08.464,0.0,0.0,19489.0,32607.0,29.11,397.0,810.0
ncu,True,1786540388987772400,2026/08/12 23:13:09.051,0.0,0.0,19489.0,32607.0,24.93,367.0,810.0
ncu,True,1786540389571042000,2026/08/12 23:13:09.635,0.0,0.0,19489.0,32607.0,24.57,307.0,405.0
ncu,True,1786540390143594000,2026/08/12 23:13:10.222,0.0,0.0,19489.0,32607.0,24.06,300.0,405.0
ncu,True,1786540390744099800,2026/08/12 23:13:10.807,0.0,0.0,19489.0,32607.0,31.37,1237.0,405.0
ncu,True,1786540391316102300,2026/08/12 23:13:11.379,0.0,0.0,19489.0,32607.0,31.84,727.0,405.0
ncu,True,1786540391901522500,2026/08/12 23:13:11.965,0.0,0.0,19489.0,32607.0,24.47,502.0,405.0
ncu,True,1786540392473180000,2026/08/12 23:13:12.536,0.0,0.0,19489.0,32607.0,24.3,442.0,405.0
ncu,True,1786540393059267200,2026/08/12 23:13:13.122,0.0,0.0,19489.0,32607.0,31.28,900.0,810.0
ncu,True,1786540393643964000,2026/08/12 23:13:13.708,0.0,0.0,19489.0,32607.0,32.0,765.0,405.0
ncu,True,1786540394216431300,2026/08/12 23:13:14.279,0.0,0.0,19489.0,32607.0,25.38,630.0,405.0
ncu,True,1786540394802372600,2026/08/12 23:13:14.865,0.0,0.0,19489.0,32607.0,24.61,547.0,405.0
ncu,True,1786540395373905600,2026/08/12 23:13:15.437,0.0,0.0,19489.0,32607.0,24.33,465.0,405.0
ncu,True,1786540395960958800,2026/08/12 23:13:16.024,0.0,0.0,19489.0,32607.0,33.02,795.0,405.0
ncu,True,1786540396547007300,2026/08/12 23:13:16.610,0.0,0.0,19489.0,32607.0,25.59,675.0,405.0
ncu,True,1786540397119230500,2026/08/12 23:13:17.181,0.0,0.0,19489.0,32607.0,24.66,570.0,405.0
ncu,True,1786540397704492600,2026/08/12 23:13:17.767,87.0,34.0,19489.0,32607.0,32.05,1357.0,13801.0
ncu,True,1786540398286984400,2026/08/12 23:13:18.349,0.0,0.0,19489.0,32607.0,55.02,1702.0,13801.0
ncu,True,1786540398858454500,2026/08/12 23:13:18.922,0.0,0.0,19495.0,32607.0,63.17,1702.0,13801.0
ncu,True,1786540399430820200,2026/08/12 23:13:19.493,0.0,0.0,19495.0,32607.0,45.02,772.0,7001.0
ncu,True,1786540400015480300,2026/08/12 23:13:20.078,0.0,0.0,19495.0,32607.0,40.44,637.0,810.0
ncu,True,1786540400602267300,2026/08/12 23:13:20.664,0.0,0.0,19495.0,32607.0,32.01,420.0,810.0
ncu,True,1786540401186416200,2026/08/12 23:13:21.250,0.0,0.0,19495.0,32607.0,24.96,360.0,810.0
ncu,True,1786540401769704200,2026/08/12 23:13:21.832,0.0,0.0,19495.0,32607.0,24.59,322.0,810.0
ncu,True,1786540402353043900,2026/08/12 23:13:22.415,0.0,0.0,19495.0,32607.0,24.58,315.0,405.0
ncu,True,1786540402938854300,2026/08/12 23:13:23.003,0.0,0.0,19495.0,32607.0,53.47,2040.0,13801.0
ncu,True,1786540403525454400,2026/08/12 23:13:23.589,0.0,0.0,19489.0,32607.0,50.8,2040.0,13801.0
ncu,True,1786540404111742600,2026/08/12 23:13:24.174,0.0,0.0,19489.0,32607.0,50.8,2040.0,13801.0
ncu,True,1786540404695949500,2026/08/12 23:13:24.759,0.0,0.0,19489.0,32607.0,40.78,502.0,810.0
ncu,True,1786540405282272900,2026/08/12 23:13:25.346,0.0,0.0,19489.0,32607.0,36.1,772.0,810.0
ncu,True,1786540405854921300,2026/08/12 23:13:25.917,0.0,0.0,19489.0,32607.0,32.0,637.0,810.0
ncu,True,1786540406436236400,2026/08/12 23:13:26.499,0.0,0.0,19489.0,32607.0,24.72,472.0,405.0
ncu,True,1786540407007477100,2026/08/12 23:13:27.071,53.0,26.0,19489.0,32607.0,31.03,1042.0,405.0
ncu,True,1786540407594386800,2026/08/12 23:13:27.657,0.0,0.0,19489.0,32607.0,32.47,840.0,405.0
ncu,True,1786540408181942100,2026/08/12 23:13:28.245,0.0,0.0,19489.0,32607.0,25.73,712.0,405.0
ncu,True,1786540408767623000,2026/08/12 23:13:28.831,0.0,0.0,19489.0,32607.0,25.12,600.0,405.0
ncu,True,1786540409340157600,2026/08/12 23:13:29.403,0.0,0.0,19489.0,32607.0,24.74,495.0,405.0
ncu,True,1786540409925285600,2026/08/12 23:13:29.988,0.0,0.0,19489.0,32607.0,31.27,585.0,405.0
ncu,True,1786540410508986500,2026/08/12 23:13:30.572,0.0,0.0,19489.0,32607.0,24.53,510.0,405.0
ncu,True,1786540411080607500,2026/08/12 23:13:31.144,0.0,0.0,19489.0,32607.0,24.37,442.0,405.0
ncu,True,1786540411666700800,2026/08/12 23:13:31.730,0.0,0.0,19489.0,32607.0,24.35,405.0,405.0
ncu,True,1786540412254728700,2026/08/12 23:13:32.318,26.0,4.0,19489.0,32607.0,63.92,2872.0,13801.0
ncu,True,1786540412838834800,2026/08/12 23:13:32.901,0.0,0.0,19489.0,32607.0,94.28,2880.0,13801.0
ncu,True,1786540413424925900,2026/08/12 23:13:33.488,0.0,0.0,19495.0,32607.0,84.92,2880.0,13801.0
ncu,True,1786540413997763600,2026/08/12 23:13:34.061,0.0,0.0,19495.0,32607.0,71.75,757.0,7001.0
ncu,True,1786540414570070100,2026/08/12 23:13:34.633,0.0,0.0,19495.0,32607.0,52.31,652.0,810.0
ncu,True,1786540415156584700,2026/08/12 23:13:35.220,0.0,0.0,19495.0,32607.0,33.83,562.0,810.0
ncu,True,1786540415728803400,2026/08/12 23:13:35.792,0.0,0.0,19495.0,32607.0,25.17,465.0,810.0
ncu,True,1786540416315771700,2026/08/12 23:13:36.379,0.0,0.0,19495.0,32607.0,24.98,420.0,810.0
ncu,True,1786540416902600000,2026/08/12 23:13:36.964,91.0,43.0,19495.0,32607.0,34.02,1327.0,13801.0
ncu,True,1786540417487724500,2026/08/12 23:13:37.550,0.0,0.0,19489.0,32607.0,59.48,1942.0,13801.0
ncu,True,1786540418060118800,2026/08/12 23:13:38.124,0.0,0.0,19489.0,32607.0,50.02,1942.0,13801.0
ncu,True,1786540418644998700,2026/08/12 23:13:38.708,0.0,0.0,19489.0,32607.0,46.97,795.0,810.0
ncu,True,1786540419218039500,2026/08/12 23:13:39.281,1.0,0.0,19489.0,32607.0,44.94,1395.0,810.0
ncu,True,1786540419804742600,2026/08/12 23:13:39.868,0.0,0.0,19489.0,32607.0,36.92,990.0,810.0
ncu,True,1786540420377418400,2026/08/12 23:13:40.440,0.0,0.0,19489.0,32607.0,27.43,817.0,810.0
ncu,True,1786540420963695300,2026/08/12 23:13:41.027,0.0,0.0,19489.0,32607.0,24.97,592.0,405.0
ncu,True,1786540421549085600,2026/08/12 23:13:41.611,0.0,0.0,19489.0,32607.0,35.45,1200.0,810.0
ncu,True,1786540422120686800,2026/08/12 23:13:42.184,0.0,0.0,19489.0,32607.0,37.83,1117.0,810.0
ncu,True,1786540422692643100,2026/08/12 23:13:42.755,0.0,0.0,19489.0,32607.0,28.66,922.0,810.0
ncu,True,1786540423277731200,2026/08/12 23:13:43.341,0.0,0.0,19489.0,32607.0,26.8,780.0,405.0
ncu,True,1786540423850170600,2026/08/12 23:13:43.913,0.0,0.0,19489.0,32607.0,25.51,637.0,405.0
ncu,True,1786540424421731500,2026/08/12 23:13:44.485,0.0,0.0,19489.0,32607.0,39.2,1140.0,810.0
ncu,True,1786540424993831300,2026/08/12 23:13:45.057,0.0,0.0,19489.0,32607.0,29.23,930.0,810.0
ncu,True,1786540425580114000,2026/08/12 23:13:45.644,0.0,0.0,19489.0,32607.0,26.96,772.0,405.0
