source,gpu_utilization_percent,memory_controller_utilization_percent,power_w,temperature_c,timestamp,vram_used_mib
other-shards-raw.json,11.0,2.0,43.24,50.0,2026/08/13 16:50:39.030,2214.0
other-shards-raw.json,9.0,2.0,42.67,50.0,2026/08/13 16:50:39.570,2214.0
other-shards-raw.json,7.0,2.0,44.19,50.0,2026/08/13 16:50:40.120,2214.0
other-shards-raw.json,9.0,2.0,46.77,50.0,2026/08/13 16:50:40.673,2214.0
other-shards-raw.json,3.0,1.0,48.01,50.0,2026/08/13 16:50:41.223,2424.0
other-shards-raw.json,12.0,2.0,46.31,50.0,2026/08/13 16:50:41.775,2424.0
other-shards-raw.json,11.0,2.0,42.89,50.0,2026/08/13 16:50:42.327,2220.0
other-shards-raw.json,9.0,2.0,42.98,50.0,2026/08/13 16:50:42.881,2252.0
other-shards-raw.json,6.0,2.0,44.71,50.0,2026/08/13 16:50:43.434,2260.0
other-shards-raw.json,9.0,2.0,46.77,50.0,2026/08/13 16:50:43.988,2218.0
other-shards-raw.json,4.0,1.0,48.53,51.0,2026/08/13 16:50:44.527,2214.0
other-shards-raw.json,12.0,2.0,49.5,50.0,2026/08/13 16:50:45.065,2424.0
other-shards-raw.json,11.0,2.0,46.23,50.0,2026/08/13 16:50:45.604,2214.0
other-shards-raw.json,12.0,2.0,42.23,50.0,2026/08/13 16:50:46.145,2424.0
other-shards-raw.json,8.0,2.0,42.38,50.0,2026/08/13 16:50:46.684,2260.0
other-shards-raw.json,8.0,2.0,44.42,50.0,2026/08/13 16:50:47.237,2214.0
other-shards-raw.json,3.0,1.0,47.62,51.0,2026/08/13 16:50:47.777,2214.0
other-shards-raw.json,11.0,2.0,49.49,50.0,2026/08/13 16:50:48.331,2424.0
other-shards-raw.json,11.0,2.0,47.0,50.0,2026/08/13 16:50:48.887,2214.0
other-shards-raw.json,12.0,2.0,42.79,50.0,2026/08/13 16:50:49.427,2424.0
other-shards-raw.json,12.0,2.0,43.08,50.0,2026/08/13 16:50:49.968,2222.0
other-shards-raw.json,6.0,1.0,44.93,51.0,2026/08/13 16:50:50.521,2260.0
other-shards-raw.json,10.0,2.0,46.99,51.0,2026/08/13 16:50:51.070,2214.0
other-shards-raw.json,3.0,1.0,48.42,51.0,2026/08/13 16:50:51.622,2222.0
other-shards-raw.json,12.0,2.0,50.54,51.0,2026/08/13 16:50:52.175,2284.0
other-shards-raw.json,12.0,2.0,47.14,51.0,2026/08/13 16:50:52.725,2424.0
other-shards-raw.json,12.0,2.0,43.36,51.0,2026/08/13 16:50:53.266,2424.0
other-shards-raw.json,6.0,1.0,44.77,51.0,2026/08/13 16:50:53.820,2214.0
other-shards-raw.json,9.0,2.0,46.49,51.0,2026/08/13 16:50:54.374,2214.0
other-shards-raw.json,3.0,1.0,49.2,51.0,2026/08/13 16:50:54.925,2214.0
other-shards-raw.json,10.0,2.0,51.25,51.0,2026/08/13 16:50:55.465,2424.0
other-shards-raw.json,13.0,2.0,47.95,51.0,2026/08/13 16:50:56.017,2214.0
other-shards-raw.json,12.0,2.0,43.89,51.0,2026/08/13 16:50:56.556,2424.0
other-shards-raw.json,12.0,2.0,43.78,51.0,2026/08/13 16:50:57.111,2214.0
other-shards-raw.json,7.0,2.0,45.31,51.0,2026/08/13 16:50:57.665,2252.0
other-shards-raw.json,8.0,2.0,46.93,51.0,2026/08/13 16:50:58.216,2212.0
other-shards-raw.json,0.0,1.0,41.58,51.0,2026/08/13 16:50:58.960,2212.0
other-shards-raw.json,0.0,1.0,37.18,51.0,2026/08/13 16:50:59.577,2212.0
other-shards-raw.json,0.0,1.0,36.29,50.0,2026/08/13 16:51:00.183,2212.0
other-shards-raw.json,0.0,0.0,36.41,51.0,2026/08/13 16:51:00.738,2212.0
other-shards-raw.json,0.0,1.0,36.04,51.0,2026/08/13 16:51:01.294,2212.0
other-shards-raw.json,5.0,1.0,39.49,51.0,2026/08/13 16:51:01.862,2212.0
other-shards-raw.json,4.0,1.0,45.3,51.0,2026/08/13 16:51:02.402,2214.0
other-shards-raw.json,12.0,2.0,49.85,51.0,2026/08/13 16:51:02.954,2320.0
other-shards-raw.json,10.0,2.0,46.98,51.0,2026/08/13 16:51:03.504,2320.0
other-shards-raw.json,12.0,2.0,44.02,51.0,2026/08/13 16:51:04.056,2320.0
other-shards-raw.json,10.0,2.0,45.07,51.0,2026/08/13 16:51:04.608,2234.0
other-shards-raw.json,8.0,2.0,47.42,51.0,2026/08/13 16:51:05.159,2242.0
other-shards-raw.json,7.0,2.0,49.16,51.0,2026/08/13 16:51:05.711,2216.0
other-shards-raw.json,8.0,2.0,50.99,52.0,2026/08/13 16:51:06.264,2214.0
other-shards-raw.json,12.0,2.0,49.66,51.0,2026/08/13 16:51:06.816,2320.0
other-shards-raw.json,11.0,2.0,48.44,51.0,2026/08/13 16:51:07.370,2320.0
other-shards-raw.json,11.0,2.0,44.49,51.0,2026/08/13 16:51:07.921,2320.0
other-shards-raw.json,11.0,2.0,44.53,51.0,2026/08/13 16:51:08.474,2234.0
other-shards-raw.json,8.0,2.0,46.53,51.0,2026/08/13 16:51:09.013,2234.0
other-shards-raw.json,8.0,2.0,48.73,51.0,2026/08/13 16:51:09.561,2214.0
other-shards-raw.json,7.0,2.0,49.84,51.0,2026/08/13 16:51:10.115,2214.0
other-shards-raw.json,5.0,1.0,50.33,51.0,2026/08/13 16:51:10.667,2218.0
other-shards-raw.json,12.0,2.0,51.38,51.0,2026/08/13 16:51:11.218,2320.0
other-shards-raw.json,11.0,2.0,44.78,51.0,2026/08/13 16:51:11.772,2320.0
other-shards-raw.json,10.0,2.0,44.75,51.0,2026/08/13 16:51:12.322,2214.0
other-shards-raw.json,6.0,1.0,46.79,51.0,2026/08/13 16:51:12.873,2214.0
other-shards-raw.json,6.0,1.0,48.93,51.0,2026/08/13 16:51:13.427,2214.0
other-shards-raw.json,8.0,2.0,49.45,51.0,2026/08/13 16:51:13.975,2214.0
