timestamp, uuid, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/10 10:03:02.429, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.45 W
2026/09/10 10:03:02.630, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.59 W
2026/09/10 10:03:02.831, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.59 W
2026/09/10 10:03:03.032, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.58 W
2026/09/10 10:03:03.232, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.58 W
2026/09/10 10:03:03.433, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.58 W
2026/09/10 10:03:03.633, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.58 W
2026/09/10 10:03:03.834, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.58 W
2026/09/10 10:03:04.034, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.62 W
2026/09/10 10:03:04.235, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.62 W
2026/09/10 10:03:04.436, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.62 W
2026/09/10 10:03:04.636, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.62 W
2026/09/10 10:03:04.837, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.62 W
2026/09/10 10:03:05.038, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.75 W
2026/09/10 10:03:05.238, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.75 W
2026/09/10 10:03:05.439, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.75 W
2026/09/10 10:03:05.640, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.75 W
2026/09/10 10:03:05.840, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.75 W
2026/09/10 10:03:06.041, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.56 W
2026/09/10 10:03:06.241, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.56 W
2026/09/10 10:03:06.442, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.56 W
2026/09/10 10:03:06.642, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.56 W
2026/09/10 10:03:06.843, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.56 W
2026/09/10 10:03:07.043, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.52 W
2026/09/10 10:03:07.244, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.52 W
2026/09/10 10:03:07.445, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.52 W
