split,layer,rows,stripe_degree,worker_id,stripe_index,head_start,head_stop,runtime_weight_bytes,persistent_state_bytes,wall_p50_ms,cuda_p50_ms,host_overhead_p50_ms,physical_launches,network_visible_outputs,cross_degree_relative_l2,pass
calibration,45,4,32,kda.layer-45.p32.worker-23,23,69,72,8025612,215040,0.5546,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-24,24,72,75,8025612,215040,0.3891,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-25,25,75,78,8025612,215040,0.3867,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-26,26,78,81,8025612,215040,0.3867,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-27,27,81,84,8025612,215040,0.3893,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-28,28,84,87,8025612,215040,0.3859,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-29,29,87,90,8025612,215040,0.3846,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-30,30,90,93,8025612,215040,0.3853,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-31,31,93,96,8025612,215040,0.3865,,,8,1,1.1254593608699046e-07,True
heldout,89,1,4,kda.layer-89.p4.worker-00,0,0,24,64204896,1720320,0.359,,,8,1,0.0,True
heldout,89,1,4,kda.layer-89.p4.worker-01,1,24,48,64204896,1720320,0.361,,,8,1,0.0,True
heldout,89,1,4,kda.layer-89.p4.worker-02,2,48,72,64204896,1720320,0.3575,,,8,1,0.0,True
heldout,89,1,4,kda.layer-89.p4.worker-03,3,72,96,64204896,1720320,0.3735,,,8,1,0.0,True
heldout,89,1,8,kda.layer-89.p8.worker-00,0,0,12,32102448,860160,0.2813,,,8,1,1.616721572603269e-07,True
heldout,89,1,8,kda.layer-89.p8.worker-01,1,12,24,32102448,860160,0.2833,,,8,1,1.616721572603269e-07,True
heldout,89,1,8,kda.layer-89.p8.worker-02,2,24,36,32102448,860160,0.2808,,,8,1,1.616721572603269e-07,True
heldout,89,1,8,kda.layer-89.p8.worker-03,3,36,48,32102448,860160,0.2827,,,8,1,1.616721572603269e-07,True
